City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Esperance,AU,-33.8667,121.9,48.04,86,55,26.35,moderate rain
265,Faanui,PF,-16.4833,-151.75,78.03,63,70,15.73,broken clouds
266,Muravlenko,RU,63.7898,74.523,49.57,75,27,6.91,scattered clouds
267,Verkhnyaya Inta,RU,65.9811,60.3094,53.47,78,100,15.03,overcast clouds
268,Sopelana,ES,43.3789,-2.9831,60.08,83,20,1.01,few clouds
269,Akyab,MM,20.15,92.9,81.14,88,100,13.2,overcast clouds
270,Novyy Urengoy,RU,66.0833,76.6333,50.72,81,80,6.96,broken clouds
271,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,25,0,16.11,clear sky
272,Chipinge,ZW,-20.1883,32.6236,50.23,82,33,3.58,scattered clouds
273,Isangel,VU,-19.55,169.2667,72.52,51,5,16.11,clear sky
274,San Patricio,US,28.017,-97.5169,94.15,57,62,16.91,broken clouds
275,Carutapera,BR,-1.195,-46.02,75.13,92,28,3.98,scattered clouds
276,Port Macquarie,AU,-31.4333,152.9167,64.36,56,0,9.6,clear sky
277,Porto Santo,PT,33.072,-16.3415,70.18,73,75,10.36,broken clouds
278,Bilma,NE,18.6853,12.9164,94.39,15,20,5.08,few clouds
279,Axim,GH,4.8699,-2.2405,76.01,88,55,6.55,broken clouds
280,Henties Bay,NA,-22.116,14.2845,67.96,39,0,6.89,clear sky
281,Koungou,YT,-12.7336,45.2042,76.71,69,75,19.57,broken clouds
282,Nuuk,GL,64.1835,-51.7216,52.41,71,75,4.61,broken clouds
283,Sandwick,GB,60.0,-1.25,51.62,82,90,9.22,overcast clouds
284,Asau,RO,46.4333,26.4,74.32,70,21,5.7,few clouds
285,Longhua,CN,23.6137,114.1919,79.74,96,95,1.1,light rain
286,Setermoen,NO,68.861,18.3486,48.43,95,100,3.74,overcast clouds
287,Samana,DO,19.2056,-69.3369,84.16,83,60,8.84,broken clouds
288,Arroyo,ES,41.6096,-4.7969,59.22,66,40,8.05,scattered clouds
289,Meulaboh,ID,4.1363,96.1285,74.82,85,100,3.02,light rain
290,Dalgopol,BG,43.05,27.35,77.05,82,3,1.9,clear sky
291,Arlit,NE,18.7369,7.3853,88.2,40,90,17.31,overcast clouds
292,Bathsheba,BB,13.2167,-59.5167,83.01,78,75,14.97,broken clouds
293,Llangefni,GB,53.2556,-4.3106,59.11,94,90,6.91,overcast clouds
294,Chengde,CN,40.9725,117.9361,68.49,86,39,4.68,scattered clouds
295,Bambous Virieux,MU,-20.3428,57.7575,69.22,74,7,14.99,light rain
296,Atar,MR,20.5169,-13.0499,93.31,29,5,9.66,clear sky
297,Vila Velha,BR,-20.3297,-40.2925,62.55,94,90,4.61,overcast clouds
298,Clyde River,CA,70.4692,-68.5914,39.43,86,100,3.51,overcast clouds
299,Dasoguz,TM,41.8363,59.9666,69.75,37,0,9.22,clear sky
300,Yerbogachen,RU,61.2767,108.0108,61.23,55,3,6.91,clear sky
301,Inirida,CO,3.8653,-67.9239,71.42,94,100,2.91,overcast clouds
302,Markala,ML,13.7021,-6.0659,78.53,79,83,12.15,broken clouds
303,Okhotsk,RU,59.3833,143.3,65.7,55,9,9.89,clear sky
304,Hervey Bay,AU,-25.2986,152.8535,71.02,79,0,4.0,clear sky
305,Amalapuram,IN,16.5833,82.0167,80.82,75,100,6.49,overcast clouds
306,Lata,PT,40.1629,-8.3327,59.05,97,14,1.99,few clouds
307,Hambantota,LK,6.1241,81.1185,78.91,82,69,16.73,broken clouds
308,Neepawa,CA,50.2289,-99.4664,75.81,24,2,16.62,clear sky
309,Saurimo,AO,-9.6608,20.3916,58.84,30,2,5.75,clear sky
310,Budaun,IN,28.05,79.1167,83.28,76,96,8.01,light rain
311,San Felipe,VE,10.3399,-68.7425,74.28,91,74,2.37,light rain
312,Petatlan,MX,17.5167,-101.2667,91.2,65,96,3.74,overcast clouds
313,Popondetta,PG,-8.7537,148.2534,79.32,72,54,0.81,broken clouds
314,Saint Anthony,US,45.0205,-93.218,85.93,39,20,10.0,smoke
315,Russkaya Polyana,UA,49.417,31.9201,71.73,63,1,3.65,clear sky
316,Rapid Valley,US,44.0625,-103.1463,88.0,28,1,4.0,smoke
317,Hamilton,US,39.1834,-84.5333,74.95,68,90,1.01,overcast clouds
318,Port Blair,IN,11.6667,92.75,81.72,82,100,17.56,overcast clouds
319,Murakami,JP,38.2333,139.4833,80.83,80,60,3.62,broken clouds
320,Narashino,JP,35.6833,140.0333,87.94,67,30,4.76,scattered clouds
321,Te Anau,NZ,-45.4167,167.7167,47.89,96,99,1.59,overcast clouds
322,Tiksi,RU,71.6872,128.8694,41.09,86,94,8.77,overcast clouds
323,Salalah,OM,17.0151,54.0924,77.09,94,90,6.91,light intensity drizzle
324,Araouane,ML,18.9048,-3.5265,96.12,30,42,10.51,scattered clouds
325,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,3.44,clear sky
326,Punta De Bombon,PE,-17.1717,-71.7931,61.32,81,48,6.31,scattered clouds
327,Loukhi,RU,66.0764,33.0381,51.37,93,96,2.77,overcast clouds
328,Mbandaka,CD,0.0487,18.2603,76.59,62,91,3.33,overcast clouds
329,Little Current,CA,45.9793,-81.9248,61.41,94,100,6.08,overcast clouds
330,Polewali,ID,-3.4324,119.3435,75.97,89,97,2.84,overcast clouds
331,Sao Sebastiao,BR,-23.76,-45.4097,58.55,86,83,5.01,broken clouds
332,Resavica,RS,44.0408,21.5816,71.22,54,48,1.9,scattered clouds
333,Umm Lajj,SA,25.0213,37.2685,86.0,61,100,8.55,overcast clouds
334,Tamale,GH,9.4008,-0.8393,72.52,95,92,5.1,overcast clouds
335,Clarksburg,US,39.2807,-80.3445,76.73,65,1,3.44,clear sky
336,Tyukhtet,RU,56.5389,89.3011,55.24,78,47,4.76,scattered clouds
337,Natal,BR,-5.795,-35.2094,79.45,73,20,6.91,few clouds
338,Havre-Saint-Pierre,CA,50.2334,-63.5986,58.21,84,92,13.13,overcast clouds
339,Dauphin,CA,51.1494,-100.0502,78.08,28,2,13.56,clear sky
340,Naze,JP,28.3667,129.4833,79.56,84,99,10.63,overcast clouds
341,Lorengau,PG,-2.0226,147.2712,83.44,71,56,5.03,broken clouds
342,Novooleksiyivka,UA,46.2269,34.6428,76.89,60,0,3.13,clear sky
343,Ovalle,CL,-30.5983,-71.2003,63.55,53,50,1.86,scattered clouds
